content
"유튜브급 재생 중 멀티태스킹 기능을 기대했는데 영 시원찮네요. 백그라운드 재생만 쓰려고 PIP를 끄면 재생 중에는 앱으로 할 수 있는 게 시청뿐이고, PIP를 켜면 백그라운드 전환에 절차가 늘어나고 해서 좀 아쉽습니다. 백그라운드로 넘어갈 때 끊김이 없는 것은 마음에 듭니다."
"우선 대회를 앞두고 좋은 화질로 볼 수 있는 환경을 제공 해준다는 사실에 감사드립니다. 종료되는 플랫폼 이후의 상황이 좀 불편했는데 여러모로 열린 운영으로 베타임에도 불구하고 친근하고 편안한 분위기라 만족스럽습니다. 불만보다는 없었던것, 그리고 익숙한 것들이 눈에 들어와서 편안항 마음으로 시청중이지만 그럼에도 몇가지 신경쓰이는 게 있어서 써봅니다. 1. 방송화면을 클릭하여 내릴 시에 조명 혹은 소리가 조정되는 부분이 조금 불편합니다. 이 부분은 기존 네이버 영상도 동일한 기능임은 알고 있습니다만 해당 기능의 접촉면적이 조금 줄어 든다거나 하는 방향이면 좋을거 같습니다. 그 기능을 사용하려는 사람들이 명확한 의도로만 사용할 수 있을 정도면 서로가 만족하지 않을까요. 2. 채팅 작성시 보내기가 줄 변경인 건 아쉬운 부분입니다. 채팅 완성을 하기위해선 키패드가 아닌 화면상에서 클릭을 해야하는 부분이라 같은 결과값을 위해 두번 클릭 해야하는 상황은 다소 불편하네요."
치지직 베타 괜찮네요. 특히 광고 스킵기능은 매우 좋긴한데 나중에라도 가능하다면 월 구독료를 지불하고 유튜브처럼 광고없이 시청가능한 네이버 치지직용 구독형 서비스가 있으면 좋을 것 같습니다. 그리고 메인 페이지에서 팔로우 채널 영상이 위로 올라오고 메뉴에서 팔로우채널 눌렀을때 어떤 채널이 어떤방송중인지 썸네일이 나왔으면 좋을 것 같고 시청중인 화면 아래로 내렸을때 사용하던 앱이 아니라 치지직 메인페이지나 팔로우채널 페이지가 나오면 좋겠지만 사용자마다 원하는 방향이 틀리니 앱설정으로 설정할 수 있도록 해주시면 좋을 것 같습니다. 트위치 대체 어느정도 가능할듯 싶은데요.
"화질 너무 좋고 출시한지 얼마 안된 플랫폼치고는 정말 깔끔하게 잘 쓰고 있는데요, 한가지 아쉬운 점은 저만 그런건진 모르겠는데 태블릿이나 휴대폰에 헤드셋이나 이어폰을 블루투스로 연결했을때는 방송이 자주 끊깁니다. 그냥 볼땐 괜찮았는데 연결하면 자꾸 그러네요. 혹시 이 문제도 개선해주시면 사용하는데에 훨씬 편리해 질 것 같습니다!"
백그라운드에서 상주하고 배터리를 많이 잡아먹는거 같은데 이거 맞나요. 분명 껐는데도 살아있습니다. 백그라운드 오디오 설정 켜진채면 완전히 꺼도 살아있는거 같네요. Wifi 상태입니다
베타 치고는 화질도 ui이 편의성도 좋고 실시간 수정 반영되는게 좋습니다. 근데 라이브 스트리밍이 길면 다시보기 업뎃 오래걸리고 1080재생 안되는거랑 버퍼링 문제는 정식 출시 후 안정화되면 괜찮아지나요? 1080재생시 버퍼링 심해서 720으로 낮춰봐도 버퍼링이 발생하니.. 같은 환경에서 유튜브는 1080 재생해도 끊김없이 재생되는데 라이브 스트리밍은 720도 버퍼링이 생기니까 방송 보기가 좀 꺼려집니다. 빨리 개선되면 좋겠어요.
"태블릿 가로로 돌렸을때 제일 상단에 추천방송이 길게 뜨는데, 방송 화면비율로 만들고 아래 추천방송이랑 같이 묶어서 스택으로 넘길수있게 하는게 좋을거같아요. 지금 추천방송리스트 부분은 팔로우방송이 올라오는게 좋을듯 채팅도 버튼이 화면위에있어서 불편한데, 화면아래로 내리거나 화면 두번눌러 채팅창이 켜지고 꺼지는게 좋을거같아요 좋은서비스 감사합니다"
"굿!! 일단 화질에서 너무만족스럽습니다. 하지만 화면의 밝기 조절이랑 음량 조절이 양옆에 있어서 작은 모드로 바꿀때 좀 불편감이 있었습니다. 검색을 좀 더 편리하게 해주셨음 좋겠습니다. 예를들어 마인크레프트, 롤 등... 구분을 지어서 만들어서 쉽고 빠르게 검색가능하도록 해주세요. 나머지는 좋게 사용중입니다."
"관심도 없는 추천채널을 왜 계속 상단에 고정한채로 보여주는건가요... 제가 팔로우한 채널이 방송중인지, 방송중이라면 어떤 방송을 하는지 썸네일로 가장 먼저 메인화면 상단에 보여주는게 당연한건데... 그리고 관심 아예없고 보기싫은 스트리머를 차단했는데 추천채널에는 왜 계속 뜨나요? 추천채널이 메인화면 상단에 고정되어 있는것도 짜증나고 차단한 스트리머가 추천에 계속 떠서 더 짜증나고... 아예 추천채널 자체를 없애는건 어떤가요? 왜 자꾸 관심도 없는데 멋대로 추천을... 하는걸까요ㅎㅎㅎㅎ 그놈에 추천채널ㅋ 아 그리고 채팅창 글씨 크기를 선택할 수 있게 해주세요. 글씨가 좀 작네요."
"치지직 베타라 정신없을텐데 바로바로 긴급패치 해주셔서 감사합니다. 일단위로 앱 업데이트하기 쉽지 않을텐데, 바로바로 채팅 애니메이션 제거, 태블릿 최적화, 채팅 색상 추가, 음량 및 화면 밝기 조절 비활성화 옵션 등등 필요한 것 다 추가된 것 같네요. 크롬캐스트도 되기를 기원합니다"
